tripduration,usertype
13.10783133,member
15.60092323,member
39.69466667,member
26.14556962,member
44.51666667,member
125.625,member
23.56868898,member
31.57631579,member
24.51543062,member
13.44054054,member
26.34284038,member
-0.101886792,member
-0.274912281,member
31.2010101,member
36.35766046,member
21.78092243,member
34.36088508,member
32.36597222,member
40.68874835,member
23.07833569,member
23.1127008,member
32.02392206,member
41.03806871,member
38.70988372,member
24.17213868,member
17.4,member
32.3,member
20.19026846,member
9.995666667,member
14.95653333,member
16.10269608,member
16.06893004,member
14.61925926,member
20.46094237,member
-62.05555556,member
10.6125,member
-17.44369369,member
36.19259259,member
18.66298701,member
21.84136905,member
21.98141762,member
17.01190476,member
36.40555556,member
24.50217391,member
18.2329932,member
19.66989247,member
24.09795918,member
18.98665365,member
2.63510101,member
20.44960317,member
29.72489177,member
15.41918605,member
8.935507246,member
14.1598351,member
45.97083333,member
15.87331288,member
35.6,member
23.08157895,member
19.77240437,member
14.82433538,member
37.06984848,member
26.03333333,member
29.51666667,member
8.616666667,member
8.122222222,member
29.30308642,member
72.4375,member
26.57,member
-105.362963,member
46.2452381,member
23.33125,member
38.33529963,member
33.53333333,member
-100.3111111,member
29.55,member
18.14197995,member
24.48888889,member
17.21317829,member
24.57336957,member
29.16049383,member
18.71111111,member
10.23727524,member
13.84169935,member
31.97,member
14.80517128,member
-47.03031609,member
24.21358543,member
14.37090309,member
24.41827697,member
38.2838764,member
30.2948364,member
24.35710122,member
-5.705336257,member
27.08152022,member
16.72037037,member
23.15330164,member
-40.10208333,member
-1.943820225,member
22.65882353,member
29.69585062,member
-2.809863946,member
37.29020234,member
-13.37235772,member
-11.98937729,member
24.3547619,member
23.98277405,member
8.716666667,member
21.26128205,member
41.07035623,member
18.57272727,member
-3.039651416,member
-88.17564103,member
22.51666667,member
24.82537879,member
6.844844125,member
14.22222222,member
15.10377778,member
16.28529412,member
8.860784314,member
18.41086957,member
14.74156627,member
15.59220183,member
17.07504655,member
22.31308642,member
26.47572464,member
18.08003876,member
14.60980392,member
21.13333333,member
21.97601626,member
7.316666667,member
35.46111111,member
24.07083333,member
22.87414216,member
28.3004108,member
26.53819444,member
20.71851852,member
17.06190476,member
23.0452381,member
31.41555556,member
22.94375,member
109.0141026,member
13.07727273,member
22.28333333,member
17.69449541,member
22.08166667,member
8.844134727,member
25.58636364,member
17.73375796,member
26.9625,member
17.7900641,member
18.51025641,member
-9.239194139,member
30.60208333,member
19.73916667,member
16.51779661,member
9.293661972,member
-70.14378109,member
6.275,member
-53.82837838,member
15.79285714,member
34.2,member
14.5038526,member
19.09457364,member
22.76010101,member
7.916167665,member
26.1888102,member
14.18424479,member
24.78919753,member
14.37426304,member
18.30925141,member
17.30628019,member
27.32352941,member
11.97273463,member
11.03579843,member
10.75923242,member
13.10232266,member
0.913333333,member
7.551607916,member
24.78346017,member
-71.29888889,member
17.89725146,member
17.24166667,member
40.20555556,member
-39.48492063,member
13.41484185,member
7.919478738,member
41.91666667,member
13.16333333,member
25.81666667,member
17.44541063,member
7.276790936,member
2.16991342,member
5.739666176,member
4.400888889,member
11.45030418,member
12.175,member
-0.399095023,member
4.971293673,member
4.264847162,member
14.17777778,member
14.14666667,member
7.947619048,member
-0.435090703,member
20.8,member
26.58055556,member
35.30606061,member
18.61666667,member
18.38551913,member
17.825,member
12.89907407,member
27.35208333,member
9.606666667,member
18.79239957,member
-10.2420712,member
31.1875,member
3.575169791,member
15.34924863,member
6.379703476,member
16.01608187,member
12.15662879,member
6.133185317,member
8.126431718,member
7.664641434,member
10.40833333,member
21.3672144,member
12.55811843,member
7.533845209,member
16.49379671,member
7.487935844,member
6.707054837,member
17.07018141,member
20.82061404,member
7.665800081,member
28.95555556,member
26.94411197,member
13.08656463,member
19.01333333,member
17.6875,member
14.98802309,member
18.7742616,member
15.37139714,member
-6.50203252,member
20.23151042,member
10.47005556,member
-1.988793103,member
13.36738999,member
21.74351032,member
1.35252809,member
11.59022537,member
15.14648033,member
7.674913194,member
12.24962121,member
16.29878049,member
37.74166667,member
1.877256944,member
8.136471409,member
9.750053763,member
10.8816465,member
10.3475,member
10.71503179,member
7.584132231,member
6.840890891,member
11.04800613,member
19.53011299,member
6.926248164,member
20.55458333,member
37.75555556,member
25.38333333,member
39.27916667,member
19.82777778,member
17.01621622,member
20.09438944,member
19.04324324,member
19.64753086,member
22.37291667,member
39.00724638,member
26.53472222,member
12.28549784,member
7.595121951,member
16.88321033,member
18.73333333,member
19.30571429,member
6.716666667,member
3.383333333,member
11.20555556,member
8.147602339,member
-4.050877193,member
7.768296893,member
10.36027821,member
2.964814815,member
-0.480871212,member
11.12999151,member
9.36932497,member
6.253102625,member
7.479581716,member
11.84245098,member
8.310407674,member
5.824902808,member
8.651010101,member
8.221814031,member
13.28869732,member
13.74339623,member
8.077994137,member
5.929857398,member
13.88859378,member
12.70664683,member
4.759644195,member
0.191421787,member
12.97614568,member
11.10714589,member
8.483482143,member
16.53268519,member
13.02597403,member
2.970785441,member
9.634116022,member
7.580752606,member
10.61317241,member
1.380929487,member
10.4487069,member
10.41487861,member
5.59644429,member
9.641869919,member
11.80201613,member
-0.110814249,member
7.516463592,member
4.081254811,member
21.37692308,member
10.42700301,member
10.3,member
17.36458333,member
-1.121568627,member
4.35,member
18.73134518,member
20.35701754,member
13.48833333,member
-27.02214286,member
17.25219298,member
10.175,member
24.94666667,member
37.44444444,member
20.14444444,member
23.75,member
22.31735537,member
9.287907566,member
37.18333333,member
11.88374656,member
11.52694444,member
15.90421053,member
3.454899203,member
-13.28617886,member
8.786415525,member
11.30945874,member
15.64428173,member
13.03168433,member
9.456568144,member
10.21983776,member
14.54117063,member
23.51568627,member
6.509228395,member
11.36103501,member
14.07504604,member
11.22252252,member
16.54786036,member
6.858253968,member
30.75,member
19.13333333,member
10.38921142,member
6.775054253,member
3.407178932,member
10.9786962,member
12.12532142,member
12.8484104,member
14.1591692,member
7.704755373,member
8.88266716,member
3.379390681,member
16.39722222,member
23.19545455,member
24.33684211,member
14.53333333,member
15.12254902,member
15.18888889,member
17.92313725,member
17.2479798,member
19.90094605,member
11.90833333,member
17.16237219,member
14.15,member
37.8875,member
19.13333333,member
12.38333333,member
0.933333333,member
12.23888889,member
9.095040369,member
19.2875,member
2.79865942,member
4.047607461,member
7.975852273,member
6.849033149,member
12.45265152,member
11.52348485,member
16.58525253,member
16.49737374,member
13.09882773,member
0.45,member
19.39808743,member
20.88,member
40.74166667,member
10.26211382,member
9.217428088,member
29.76049383,member
11.85494313,member
12.98007752,member
21.83615819,member
-2.016666667,member
23.18823351,member
18.0875,member
